CallSign,ExerciseTime,Latitude,Longitude,Height
SIA865,0,2.5,102.1874,10668.0
SIA367,0,2.5416,102.0376,9448.8
SIA489,0,2.5575,102.302,9448.8
SIA992,0,3.1453,102.3973,11887.2
SIA311,0,3.1088,102.1609,11887.2
SIA395,0,2.6384,102.2953,10668.0
SIA850,0,2.3252,102.2071,10668.0
SIA803,0,2.142,102.4368,10668.0
SIA598,0,2.1998,102.5925,11887.2
SIA941,0,2.7049,102.9391,11887.2
SIA498,0,2.9558,102.1494,11887.2
SIA524,0,2.7952,102.4809,11887.2
SIA989,0,2.7383,101.766,9448.8
SIA777,0,2.288,103.2374,9448.8
SIA266,0,2.4391,101.7854,9448.8
SIA42,0,3.2488,101.9202,9448.8
SIA431,0,2.9782,102.013,9448.8
SIA415,0,2.4984,102.7635,11887.2
SIA914,0,2.1424,102.2936,11887.2
SIA912,0,2.1622,103.5626,9448.8
SIA498,480,2.8273,102.6295,11887.2
SIA367,480,2.9311,101.7103,9448.8
SIA865,480,2.5,102.6876,10668.0
SIA395,480,2.3886,102.7284,10668.0
SIA777,480,2.0975,102.7655,9448.8
SIA912,480,2.233,103.0586,9448.8
SIA431,480,2.7959,102.4884,9448.8
SIA42,480,2.8536,102.2408,9448.8
SIA266,480,2.126,102.1865,9448.8
SIA598,480,2.2517,102.0986,11887.2
SIA989,480,2.2667,101.9567,9448.8
SIA415,480,2.0112,102.8583,11887.2
SIA941,480,2.2356,102.7774,11887.2
SIA803,480,2.561,102.1644,10668.0
SIA850,480,2.8242,102.1809,10668.0
SIA311,480,2.6554,101.9587,11887.2
SIA992,480,2.8535,101.9952,11887.2
SIA489,480,2.7314,101.8236,9448.8
SIA524,480,2.9237,102.9609,11887.2
SIA914,480,2.4342,101.8917,11887.2
